// ConvertZZ 額外分詞表（詞|詞性|權值）。正字、錯字與其簡體詞形都寫入。不得併入套件檔。
兇啦|0x100000|6
凶啦|0x100000|6
兇喔|0x100000|17
凶喔|0x100000|17
兇嗎|0x100000|7
凶吗|0x100000|7
凶嗎|0x100000|7
兇就|0x100000|6
凶就|0x100000|6
兇悍|0x1000|7
凶悍|0x1000|7
兇會|0x100000|5
凶会|0x100000|5
凶會|0x100000|5
兇的|0x100000|93
凶的|0x100000|93
先乾|0x100000|16
先干|0x100000|16
先佈|0x100000|8
先布|0x100000|8
先劃|0x100000|29
先划|0x100000|29
先唸|0x100000|17
先念|0x100000|17
先嚐|0x100000|5
先尝|0x100000|5
先嘗|0x100000|5
先塗|0x100000|222
先凃|0x100000|222
先彙|0x100000|45
先汇|0x100000|45
先匯|0x100000|45
先後|0x8000000|302
先后|0x8000000|302
先徵|0x100000|9
先征|0x100000|9
先採|0x100000|10
先采|0x100000|10
先沖|0x100000|24
先冲|0x100000|24
先衝|0x100000|24
先註|0x100000|12
先注|0x100000|12
光蟲|0x100000|5
光虫|0x100000|5
免徵|0x1000|28
免征|0x1000|28
免沖|0x100000|8
免冲|0x100000|8
免衝|0x100000|8
入髮|0x100000|8
入发|0x100000|8
入發|0x100000|8
內乾|0x100000|12
内干|0x100000|12
內干|0x100000|12
內劃|0x100000|17
内划|0x100000|17
內划|0x100000|17
內彙|0x100000|50
内汇|0x100000|50
內匯|0x100000|50
內於|0x100000|1295
内于|0x100000|1295
內于|0x100000|1295
內臺|0x100000|6
内台|0x100000|6
內台|0x100000|6
內裡|0x2000000|5
内里|0x2000000|5
內里|0x2000000|5
內註|0x100000|66
内注|0x100000|66
內注|0x100000|66
全乾|0x100000|29
全干|0x100000|29
全份|0x100000|6
全分|0x100000|6
全穀|0x100000|14
全谷|0x100000|14
全臺|0x100000|37
全台|0x100000|37
全軍覆沒|0x100000|27
全军复没|0x100000|27
全軍復沒|0x100000|27
全里|0x100000|61
全裡|0x100000|61
全隻|0x100000|5
全只|0x100000|5
全髮|0x100000|53
全发|0x100000|53
全發|0x100000|53
兩三公釐|0x300000|9
两三公厘|0x300000|9
兩三公厘|0x300000|9
兩公釐|0x300000|65
两公厘|0x300000|65
兩公厘|0x300000|65
兩千份|0x300000|13
两千分|0x300000|13
兩千分|0x300000|13
兩年份|0x4000|6
两年分|0x4000|6
兩年分|0x4000|6
兩棲|0x101000|10
两栖|0x101000|10
兩栖|0x101000|10
兩棲類|0x100000|17
两栖类|0x100000|17
兩栖類|0x100000|17
兩釦|0x100000|11
两扣|0x100000|11
兩扣|0x100000|11
八二三砲|0x300000|5
八二三炮|0x300000|5
八十隻|0x300000|5
八十只|0x300000|5
八月份|0x204000|69
八月分|0x204000|69
八隻|0x300000|13
八只|0x300000|13
公園裡|0x100000|119
公园里|0x100000|119
公園里|0x100000|119
公曆|0x100000|21
公历|0x100000|21
公歷|0x100000|21
六乾|0x100000|5
六干|0x100000|5
六公釐|0x300000|6
六公厘|0x300000|6
六十幾|0x400000|5
六十几|0x400000|5
六月份|0x4000|153
六月分|0x4000|153
六百份|0x300000|6
六百分|0x300000|6
六道輪迴|0x1000000|6
六道轮回|0x1000000|6
六道輪回|0x1000000|6
六隻|0x300000|43
六只|0x300000|43
共佔|0x100000|5
共占|0x100000|5
共製|0x100000|8
共制|0x100000|8
其係|0x100000|5
其系|0x100000|5
其劃|0x100000|11
其划|0x100000|11
其彙|0x100000|17
其汇|0x100000|17
其匯|0x100000|17
其於|0x100000|178
其于|0x100000|178
其製|0x100000|26
其制|0x100000|26
再乾|0x1000|9
再干|0x1000|9
再幹|0x1000|9
再劃|0x100000|5
再划|0x100000|5
再唸|0x100000|18
再念|0x100000|18
再彙|0x100000|32
再汇|0x100000|32
再匯|0x100000|32
再於|0x100000|282
再于|0x100000|282
再沖|0x100000|24
再冲|0x100000|24
再衝|0x100000|24
再準|0x100000|8
再准|0x100000|8
冠樑|0x100000|8
冠梁|0x100000|8
冷製|0x100000|28
冷制|0x100000|28
冷麵|0x100000|114
冷面|0x100000|114
凌雲|0x1000|7
凌云|0x1000|7
凍乾|0x100000|144
冻干|0x100000|144
凍干|0x100000|144
凡於|0x100000|176
凡于|0x100000|176
凶籤|0x100000|7
凶签|0x100000|7
凶簽|0x100000|7
出幾|0x100000|6
出几|0x100000|6
函係|0x100000|21
函系|0x100000|21
刀削麵|0x100000|6
刀削面|0x100000|6
分佔|0x100000|11
分占|0x100000|11
分併|0x100000|9
分并|0x100000|9
分並|0x100000|9
分錶|0x100000|63
分表|0x100000|63
切準|0x100000|6
切准|0x100000|6
切製|0x100000|19
切制|0x100000|19
刊於|0x100000|6
刊于|0x100000|6
列於|0x100000|149
列于|0x100000|149
列註|0x100000|9
列注|0x100000|9
初於|0x100000|5
初于|0x100000|5
判準|0x100000|43
判准|0x100000|43
別乾|0x1000|11
别干|0x1000|11
別幹|0x1000|11
別佔|0x100000|7
别占|0x100000|7
別占|0x100000|7
別於|0x100000|13
别于|0x100000|13
別于|0x100000|13
別隻|0x100000|13
别只|0x100000|13
別只|0x100000|13
刮乾|0x100000|5
刮干|0x100000|5
到乾|0x100000|18
到干|0x100000|18
到劃|0x100000|9
到划|0x100000|9
到幾|0x100000|12
到几|0x100000|12
到恆|0x100000|22
到恒|0x100000|22
到樑|0x100000|6
到梁|0x100000|6
到籤|0x100000|7
到签|0x100000|7
到簽|0x100000|7
到臺|0x100000|68
到台|0x100000|68
到製|0x100000|20
到制|0x100000|20
到迴|0x100000|5
到回|0x100000|5
到里|0x100000|70
到裡|0x100000|70
到髮|0x100000|23
到发|0x100000|23
到發|0x100000|23
刷乾|0x100000|10
刷干|0x100000|10
刷塗|0x100000|407
刷凃|0x100000|407
刺繡|0x100000|125
刺绣|0x100000|125
刺綉|0x100000|125
刻製|0x1000|6
刻制|0x1000|6
則佔|0x100000|32
则占|0x100000|32
則占|0x100000|32
則係|0x100000|9
则系|0x100000|9
則系|0x100000|9
則採|0x100000|86
则采|0x100000|86
則采|0x100000|86
則於|0x100000|520
则于|0x100000|520
則于|0x100000|520
則註|0x100000|5
则注|0x100000|5
則注|0x100000|5
剋土|0x100000|10
克土|0x100000|10
剋星|0x100000|13
克星|0x100000|13
剋水|0x100000|12
克水|0x100000|12
剋火|0x100000|19
克火|0x100000|19
剋風|0x100000|14
克风|0x100000|14
克風|0x100000|14
前塗|0x100000|10
前凃|0x100000|10
前幾|0x100000|19
前几|0x100000|19
前彙|0x100000|161
前汇|0x100000|161
前匯|0x100000|161
前於|0x100000|1664
前于|0x100000|1664
前製|0x100000|17
前制|0x100000|17
剛採|0x100000|46
刚采|0x100000|46
剛采|0x100000|46
剛沖|0x100000|7
刚冲|0x100000|7
剛衝|0x100000|7
剝殼|0x1000|48
剥壳|0x1000|48
剝殻|0x1000|48
剪髮|0x1000|279
剪发|0x1000|279
剪發|0x1000|279
劃上|0x1000|143
划上|0x1000|143
劃下|0x1000|12
划下|0x1000|12
劃中|0x100000|14
划中|0x100000|14
劃之|0x100000|8
划之|0x100000|8
劃也|0x100000|6
划也|0x100000|6
劃了|0x100000|43
划了|0x100000|43
劃以|0x100000|15
划以|0x100000|15
劃位|0x100000|6380
划位|0x100000|6380
劃個|0x100000|8
划个|0x100000|8
划個|0x100000|8
劃入|0x1000|47
划入|0x1000|47
劃則|0x100000|6
划则|0x100000|6
划則|0x100000|6
劃勾|0x100000|8
划勾|0x100000|8
劃十字|0x1000|13
划十字|0x1000|13
劃圓|0x100000|6
划圆|0x100000|6
划圓|0x100000|6
劃圖|0x100000|38
划图|0x100000|38
划圖|0x100000|38
劃在|0x100000|153
划在|0x100000|153
劃報|0x100000|40
划报|0x100000|40
划報|0x100000|40
劃太|0x100000|8
划太|0x100000|8
劃好|0x100000|138
划好|0x100000|138
劃完|0x100000|10
划完|0x100000|10
劃將|0x100000|31
划将|0x100000|31
划將|0x100000|31
劃已|0x100000|5
划已|0x100000|5
劃師|0x100000|9
划师|0x100000|9
划師|0x100000|9
劃很|0x100000|7
划很|0x100000|7
劃得|0x100000|155
划得|0x100000|155
劃成|0x1000|46
划成|0x1000|46
劃我|0x100000|26
划我|0x100000|26
劃撥|0x1000|87
划拨|0x1000|87
划撥|0x1000|87
劃是|0x100000|63
划是|0x100000|63
劃時|0x100000|9
划时|0x100000|9
划時|0x100000|9
劃會|0x100000|5
划会|0x100000|5
划會|0x100000|5
劃有|0x100000|30
划有|0x100000|30
劃未|0x100000|8
划未|0x100000|8
劃格|0x100000|6
划格|0x100000|6
劃歸|0x1000|7
划归|0x1000|7
划歸|0x1000|7
劃法|0x100000|20
划法|0x100000|20
劃由|0x100000|7
划由|0x100000|7
劃界|0x1000|6
划界|0x1000|6
劃白|0x100000|46
划白|0x100000|46
劃的|0x100000|79
划的|0x100000|79
劃給|0x100000|13
划给|0x100000|13
划給|0x100000|13
劃與|0x100000|65
划与|0x100000|65
划與|0x100000|65
劃著|0x1000|8
划着|0x1000|8
划著|0x1000|8
劃要|0x100000|11
划要|0x100000|11
劃記|0x100000|11
划记|0x100000|11
划記|0x100000|11
劃設|0x100000|437
划设|0x100000|437
划設|0x100000|437
劃請|0x100000|10
划请|0x100000|10
划請|0x100000|10
劃走|0x100000|7
划走|0x100000|7
劃跟|0x100000|15
划跟|0x100000|15
劃轉|0x1000|17
划转|0x1000|17
划轉|0x1000|17
劃進|0x100000|6
划进|0x100000|6
划進|0x100000|6
劃錯|0x100000|19
划错|0x100000|19
划錯|0x100000|19
劃需|0x100000|5
划需|0x100000|5
劃黃|0x100000|14
划黄|0x100000|14
划黃|0x100000|14
劑塗|0x100000|10
剂凃|0x100000|10
劑凃|0x100000|10
剂涂|0x100000|10
劑於|0x100000|18
剂于|0x100000|18
劑于|0x100000|18
加塗|0x100000|20
加凃|0x100000|20
加徵|0x100000|372
加征|0x100000|372
加鹹|0x100000|10
加咸|0x100000|10
加麵|0x100000|12
加面|0x100000|12
動劃|0x100000|182
动划|0x100000|182
動划|0x100000|182
動盪|0x101000|52
动荡|0x101000|52
動蕩|0x101000|52
勘後|0x100000|13
勘后|0x100000|13
務採|0x100000|7
务采|0x100000|7
務采|0x100000|7
務於|0x100000|8
务于|0x100000|8
務于|0x100000|8
勳也|0x100000|6
勋也|0x100000|6
勛也|0x100000|6
勳來|0x100000|7
勋来|0x100000|7
勛來|0x100000|7
勳在|0x100000|22
勋在|0x100000|22
勛在|0x100000|22
勳年|0x100000|5
勋年|0x100000|5
勛年|0x100000|5
勳的|0x100000|25
勋的|0x100000|25
勛的|0x100000|25
勳章|0x100000|290
勋章|0x100000|290
勛章|0x100000|290
勳說|0x100000|9
勋说|0x100000|9
勛說|0x100000|9
勳跟|0x100000|6
勋跟|0x100000|6
勛跟|0x100000|6
勻後|0x100000|10
匀后|0x100000|10
勻后|0x100000|10
勿於|0x100000|5
勿于|0x100000|5
包樑|0x100000|5
包梁|0x100000|5
包製|0x100000|36
包制|0x100000|36
包覆|0x1000|619
包复|0x1000|619
包復|0x1000|619
包里|0x100000|5
包裡|0x100000|5
北迴|0x100000|40
北回|0x100000|40
匣後|0x100000|6
匣后|0x100000|6
匣裡|0x100000|39
匣里|0x100000|39
匿蹤|0x100000|9
匿踪|0x100000|9
區佈|0x100000|9
区布|0x100000|9
區布|0x100000|9
區佔|0x100000|8
区占|0x100000|8
區占|0x100000|8
區採|0x100000|19
区采|0x100000|19
區采|0x100000|19
區於|0x100000|21
区于|0x100000|21
區于|0x100000|21
區里|0x100000|14
区里|0x100000|14
區裡|0x100000|14
十一月份|0x324000|77
十一月分|0x324000|77
十二月份|0x324000|42
十二月分|0x324000|42
十二隻|0x300000|8
十二只|0x300000|8
十五隻|0x300000|7
十五只|0x300000|7
十月份|0x204000|216
十月分|0x204000|216
十隻|0x300000|27
十只|0x300000|27
千層麵|0x100000|9
千层面|0x100000|9
千層面|0x100000|9
半乾|0x100000|128
半干|0x100000|128
半於|0x100000|16
半于|0x100000|16
半隻|0x100000|36
半只|0x100000|36
南庄|0x100000|8
南莊|0x100000|8
南迴|0x100000|95
南回|0x100000|95
南鹹|0x100000|6
南咸|0x100000|6
博士後|0x100000|48
博士后|0x100000|48
卡佔|0x100000|35
卡占|0x100000|35
卡塗|0x100000|6
卡凃|0x100000|6
卡採|0x100000|5
卡采|0x100000|5
卡於|0x100000|28
卡于|0x100000|28
卡殼|0x1000|38
卡壳|0x1000|38
卡殻|0x1000|38
卡準|0x100000|35
卡准|0x100000|35
卡製|0x100000|16
卡制|0x100000|16
卡鉤|0x100000|10
卡钩|0x100000|10
卡鈎|0x100000|10
印製版|0x100000|5
印制版|0x100000|5
即於|0x100000|132
即于|0x100000|132
即沖|0x100000|8
即冲|0x100000|8
即衝|0x100000|8
卵殼|0x100000|7
卵壳|0x100000|7
卵殻|0x100000|7
卷於|0x100000|10
卷于|0x100000|10
卻於|0x100000|8
却于|0x100000|8
卻于|0x100000|8
厚襪|0x100000|10
厚袜|0x100000|10
原劃|0x100000|10
原划|0x100000|10
原採|0x100000|5
原采|0x100000|5
原於|0x100000|8
原于|0x100000|8
原棲|0x100000|5
原栖|0x100000|5
原蟲|0x100000|43
原虫|0x100000|43
原隻|0x100000|10
原只|0x100000|10
去佔|0x100000|8
去占|0x100000|8
去劃|0x100000|33
去划|0x100000|33
去恆|0x100000|21
去恒|0x100000|21
去曬|0x100000|6
去晒|0x100000|6
去殼|0x1000|147
去壳|0x1000|147
去殻|0x1000|147
去沖|0x100000|17
去冲|0x100000|17
去衝|0x100000|17
去臺|0x100000|10
去台|0x100000|10
去複|0x100000|19
去复|0x100000|19
去復|0x100000|19
去里|0x100000|19
去裡|0x100000|19
去鹹|0x100000|8
去咸|0x100000|8
又乾|0x100000|18
又干|0x100000|18
又鬆|0x100000|6
又松|0x100000|6
又鹹|0x100000|5
又咸|0x100000|5
及乾|0x100000|6
及干|0x100000|6
及塗|0x100000|5
及凃|0x100000|5
及後|0x100000|7
及后|0x100000|7
及於|0x100000|9
及于|0x100000|9
反摺|0x100000|5
反折|0x100000|5
反覆推敲|0x801000|8
反复推敲|0x801000|8
反復推敲|0x801000|8
口塗|0x100000|5
口凃|0x100000|5
另一隻|0x100000|120
另一只|0x100000|120
另於|0x100000|92
另于|0x100000|92
只佔|0x100000|43
只占|0x100000|43
只唸|0x100000|9
只念|0x100000|9
只塗|0x100000|16
只凃|0x100000|16
叮噹|0x80000|6
叮当|0x80000|6
叮當|0x80000|6
可劃|0x100000|19
可划|0x100000|19
可憐|0x1000|613
可怜|0x1000|613
可採|0x100000|19
可采|0x100000|19
可於|0x100000|2436
可于|0x100000|2436
可複|0x100000|8
可复|0x100000|8
可復|0x100000|8
台劃|0x100000|6
台划|0x100000|6
台製|0x100000|17
台制|0x100000|17
右後衛|0x100000|13
右后卫|0x100000|13
右后衛|0x100000|13
右鹹|0x100000|7
右咸|0x100000|7
司於|0x100000|194
司于|0x100000|194
吃鹹|0x100000|49
吃咸|0x100000|49
吃麵|0x100000|35
吃面|0x100000|35
各佔|0x100000|93
各占|0x100000|93
各劃|0x100000|34
各划|0x100000|34
各製|0x100000|5
各制|0x100000|5
合併症|0x100000|47
合并症|0x100000|47
合並症|0x100000|47
合於|0x1000|22
合于|0x1000|22
合製|0x100000|19
合制|0x100000|19
吉里|0x100000|5
吉裡|0x100000|5
吊桿|0x100000|121
吊杆|0x100000|121
吊鉤|0x100000|108
吊钩|0x100000|108
吊鈎|0x100000|108
同病相憐|0x1000000|6
同病相怜|0x1000000|6
后再|0x100000|6
後再|0x100000|6
后的|0x100000|10
後的|0x100000|10
后里|0x100000|33
后裡|0x100000|33
向里|0x100000|35
向裡|0x100000|35
君於|0x100000|10
君于|0x100000|10
吞嚥|0x1000|1421
吞咽|0x1000|1421
吟詠|0x1000|5
吟咏|0x1000|5
吡蟲|0x100000|7
吡虫|0x100000|7
吧裡|0x100000|10
吧里|0x100000|10
含製|0x100000|6
含制|0x100000|6
含鹵|0x100000|9
含卤|0x100000|9
含滷|0x100000|9
含鹹|0x100000|5
含咸|0x100000|5
吹製|0x100000|11
吹制|0x100000|11
吹髮|0x100000|25
吹发|0x100000|25
吹發|0x100000|25
吹鬆|0x100000|6
吹松|0x100000|6
告係|0x100000|6
告系|0x100000|6
告於|0x100000|5
告于|0x100000|5
呎乾|0x100000|5
呎干|0x100000|5
味鹹|0x100000|7
味咸|0x100000|7
味麵|0x100000|5
味面|0x100000|5
和乾|0x100000|38
和干|0x100000|38
和劃|0x100000|5
和划|0x100000|5
和彙|0x100000|7
和汇|0x100000|7
和匯|0x100000|7
和後|0x100000|55
和后|0x100000|55
和沖|0x100000|17
和冲|0x100000|17
和衝|0x100000|17
和臺|0x100000|5
和台|0x100000|5
和製|0x100000|22
和制|0x100000|22
和鹹|0x100000|41
和咸|0x100000|41
咖裡|0x100000|48
咖里|0x100000|48
咸豐|0x100000|31
鹹丰|0x100000|31
鹹豐|0x100000|31
咸丰|0x100000|31
品佔|0x100000|7
品占|0x100000|7
員唸|0x100000|7
员念|0x100000|7
員念|0x100000|7
員彙|0x100000|5
员汇|0x100000|5
員匯|0x100000|5
員於|0x100000|136
员于|0x100000|136
員于|0x100000|136
哪份|0x100000|37
哪分|0x100000|37
哪幾|0x100000|28
哪几|0x100000|28
哪隻|0x100000|65
哪只|0x100000|65
哲於|0x100000|7
哲于|0x100000|7
唸了|0x100000|107
念了|0x100000|107
唸他|0x100000|25
念他|0x100000|25
唸你|0x100000|15
念你|0x100000|15
唸個|0x100000|13
念个|0x100000|13
念個|0x100000|13
唸出|0x100000|56
念出|0x100000|56
唸到|0x100000|45
念到|0x100000|45
唸叨|0x1000|5
念叨|0x1000|5
唸名|0x100000|6
念名|0x100000|6
唸咒|0x1000|7
念咒|0x1000|7
唸啦|0x100000|10
念啦|0x100000|10
唸完|0x100000|25
念完|0x100000|25
唸就|0x100000|21
念就|0x100000|21
唸得|0x100000|5
念得|0x100000|5
唸我|0x100000|61
念我|0x100000|61
唸死|0x100000|138
念死|0x100000|138
唸的|0x100000|37
念的|0x100000|37
唸稿|0x100000|29
念稿|0x100000|29
唸給|0x100000|32
念给|0x100000|32
念給|0x100000|32
唸著|0x100000|24
念着|0x100000|24
念著|0x100000|24
唸說|0x100000|57
念说|0x100000|57
念說|0x100000|57
唸謠|0x100000|5
念谣|0x100000|5
念謠|0x100000|5
唸過|0x100000|11
念过|0x100000|11
念過|0x100000|11
商於|0x100000|48
商于|0x100000|48
喫煙|0x100000|6
吃烟|0x100000|6
吃煙|0x100000|6
單份|0x100000|65
单分|0x100000|65
單分|0x100000|65
單佔|0x100000|6
单占|0x100000|6
單占|0x100000|6
單併|0x100000|16
单并|0x100000|16
單並|0x100000|16
單彙|0x100000|116
单汇|0x100000|116
單匯|0x100000|116
單採|0x100000|6
单采|0x100000|6
單采|0x100000|6
單摺|0x100000|7
单折|0x100000|7
單折|0x100000|7
單於|0x100000|150
单于|0x100000|150
單于|0x100000|150
單槓|0x100000|67
单杠|0x100000|67
單杠|0x100000|67
單註|0x100000|17
单注|0x100000|17
單注|0x100000|17
單隻|0x100000|32
单只|0x100000|32
單只|0x100000|32
嘴砲|0x100000|15
嘴炮|0x100000|15
噁唑|0x100000|23
恶唑|0x100000|23
惡唑|0x100000|23
器於|0x100000|12
器于|0x100000|12
噴塗|0x1000|2983
喷凃|0x1000|2983
噴凃|0x1000|2983
喷涂|0x1000|2983
嚐了|0x100000|15
尝了|0x100000|15
嘗了|0x100000|15
嚐嚐|0x1000|12
尝尝|0x1000|12
嘗嘗|0x1000|12
嚐嚐看|0x1000|10
尝尝看|0x1000|10
嘗嘗看|0x1000|10
嚥下|0x1000|17
咽下|0x1000|17
四公釐|0x300000|8
四公厘|0x300000|8
四十二份|0x300000|9
四十二分|0x300000|9
四月份|0x204000|133
四月分|0x204000|133
四百二十份|0x300000|5
四百二十分|0x300000|5
四百份|0x300000|12
四百分|0x300000|12
四稜|0x100000|10
四棱|0x100000|10
四隻|0x300000|131
四只|0x300000|131
回塗|0x100000|5
回凃|0x100000|5
回沖|0x100000|26
回冲|0x100000|26
回衝|0x100000|26
回臺|0x100000|15
回台|0x100000|15
因乾|0x100000|6
因干|0x100000|6
因併|0x100000|6
因并|0x100000|6
因並|0x100000|6
因劃|0x100000|6
因划|0x100000|6
因採|0x100000|9
因采|0x100000|9
因於|0x100000|8
因于|0x100000|8
因製|0x100000|14
因制|0x100000|14
困倦|0x100000|5
睏倦|0x100000|5
固後|0x100000|11
固后|0x100000|11
國曆|0x100000|14
国历|0x100000|14
國歷|0x100000|14
國樑|0x100000|102
国梁|0x100000|102
國梁|0x100000|102
國臺|0x100000|6
国台|0x100000|6
國台|0x100000|6
圓蟲|0x100000|6
圆虫|0x100000|6
圓虫|0x100000|6
圖劃|0x100000|10
图划|0x100000|10
圖划|0x100000|10
圖徵|0x100000|10
图征|0x100000|10
圖征|0x100000|10
圖裡|0xc0|127
图里|0xc0|127
圖里|0xc0|127
圖註|0x100000|6
图注|0x100000|6
圖注|0x100000|6
圖誌|0x100000|5
图志|0x100000|5
圖志|0x100000|5
團於|0x100000|12
团于|0x100000|12
團于|0x100000|12
土乾|0x100000|5
土干|0x100000|5
土剋|0x100000|7
土克|0x100000|7
在乾的|0x18801000|5
在干的|0x18801000|5
在幹的|0x18801000|5
在佈|0x100000|30
在布|0x100000|30
在佔|0x100000|10
在占|0x100000|10
在併|0x100000|29
在并|0x100000|29
在並|0x100000|29
在劃|0x100000|445
在划|0x100000|445
在唸|0x100000|123
在念|0x100000|123
在塗|0x100000|57
在凃|0x100000|57
在彙|0x100000|69
在汇|0x100000|69
在匯|0x100000|69
在徵|0x100000|44
在征|0x100000|44
在恆|0x100000|171
在恒|0x100000|171
在採|0x100000|95
在采|0x100000|95
在曬|0x100000|16
在晒|0x100000|16
在槓|0x100000|5
在杠|0x100000|5
在樑|0x100000|56
在梁|0x100000|56
在殼|0x100000|11
在壳|0x100000|11
在殻|0x100000|11
在沖|0x100000|12
在冲|0x100000|12
在衝|0x100000|12
在準|0x100000|10
在准|0x100000|10
在潟|0x100000|5
在舄|0x100000|5
在痠|0x100000|5
在酸|0x100000|5
在臺|0x100000|239
在台|0x100000|239
在製|0x100000|183
在制|0x100000|183
在複|0x100000|57
在复|0x100000|57
在復|0x100000|57
在註|0x100000|16
在注|0x100000|16
在迴|0x100000|22
在回|0x100000|22
在里|0x100000|231
在裡|0x100000|231
在雲|0x100000|15
在云|0x100000|15
在麵|0x100000|14
在面|0x100000|14
地併|0x100000|10
地并|0x100000|10
地並|0x100000|10
地唸|0x100000|20
地念|0x100000|20
地塗|0x100000|29
地凃|0x100000|29
地樑|0x100000|7
地梁|0x100000|7
地殼|0x100000|34
地壳|0x100000|34
地殻|0x100000|34
地瓜乾|0x100000|28
地瓜干|0x100000|28
地誌|0x100000|8
地志|0x100000|8
均係|0x100000|6
均系|0x100000|6
均採|0x100000|49
均采|0x100000|49
均於|0x100000|50
均于|0x100000|50
坊於|0x100000|11
坊于|0x100000|11
坐落於|0x8000000|36
坐落于|0x8000000|36
坡里|0x100000|5
坡裡|0x100000|5
坦殼|0x100000|13
坦壳|0x100000|13
坦殻|0x100000|13
坦隻|0x100000|11
坦只|0x100000|11
型採|0x100000|6
型采|0x100000|6
型雲|0x100000|5
型云|0x100000|5
基準線|0x100000|403
基准缐|0x100000|403
基准線|0x100000|403
基準面|0x8|61
基准面|0x8|61
基準點|0x100000|293
基准点|0x100000|293
基准點|0x100000|293
基裡|0x80|8
